Revenue,Expenses,Profit,Cash Flow,Industry,Label
1000000,450000,550000,200000,Technology,Growth
1200000,540000,660000,-150000,Retail,Decline
1500000,675000,825000,250000,Manufacturing,Growth
1800000,810000,990000,-200000,Finance,Decline
2000000,900000,1100000,300000,Healthcare,Growth
2200000,990000,1210000,-250000,Technology,Decline
2500000,1125000,1375000,350000,Retail,Growth
2800000,1260000,1540000,-300000,Manufacturing,Decline
3000000,1350000,1650000,400000,Finance,Growth
3200000,1440000,1760000,-350000,Healthcare,Decline
3500000,1575000,1925000,450000,Technology,Growth
3800000,1710000,2090000,-400000,Retail,Decline
4000000,1800000,2200000,500000,Manufacturing,Growth
4200000,1890000,2310000,-450000,Finance,Decline
4500000,2025000,2475000,550000,Healthcare,Growth
4800000,2160000,2640000,-500000,Technology,Decline
5000000,2250000,2750000,600000,Retail,Growth
5200000,2340000,2860000,-550000,Manufacturing,Decline
5500000,2475000,3025000,650000,Finance,Growth
5800000,2610000,3190000,-600000,Healthcare,Decline
6000000,2700000,3300000,700000,Technology,Growth
6200000,2790000,3410000,-650000,Retail,Decline
6500000,2925000,3575000,750000,Manufacturing,Growth
6800000,3060000,3740000,-700000,Finance,Decline
7000000,3150000,3850000,800000,Healthcare,Growth
7200000,3240000,3960000,-750000,Technology,Decline
7500000,3375000,4125000,850000,Retail,Growth
7800000,3510000,4290000,-800000,Manufacturing,Decline
8000000,3600000,4400000,900000,Finance,Growth
8200000,3690000,4510000,-850000,Healthcare,Decline
8500000,3825000,4675000,950000,Technology,Growth
8800000,3960000,4840000,-900000,Retail,Decline
9000000,4050000,4950000,1000000,Manufacturing,Growth
9200000,4140000,5060000,-950000,Finance,Decline
9500000,4275000,5225000,1050000,Healthcare,Growth
9800000,4410000,5390000,-1000000,Technology,Decline
10000000,4500000,5500000,1100000,Retail,Growth
10100000,4590000,5610000,-1050000,Manufacturing,Decline
10200000,4680000,5720000,1150000,Finance,Growth
10300000,4770000,5830000,-1100000,Healthcare,Decline
10400000,4860000,5940000,1200000,Technology,Growth
10500000,4950000,6050000,-1150000,Retail,Decline
10600000,5040000,6160000,1250000,Manufacturing,Growth
10700000,5130000,6270000,-1200000,Finance,Decline
10800000,5220000,6380000,1300000,Healthcare,Growth